id,text,timestamp
1,"The delivery was late and customer support was unresponsive.","2025-03-30T10:15:00"
2,"I love the product quality, but the packaging was damaged.","2025-03-30T11:00:00"
3,"The website is too slow when browsing on mobile.","2025-03-30T11:45:00"
4,"Great service! The team was very helpful in resolving my issue.","2025-03-30T12:30:00"
5,"I received a wrong item in my order, and it's taking too long to get a refund.","2025-03-30T13:15:00"
6,"The chatbot is useful, but it sometimes gives irrelevant answers.","2025-03-30T14:00:00"
7,"Why is the price on the website different from the one in-store?","2025-03-30T14:45:00"
8,"I had an amazing experience! The staff was super friendly.","2025-03-30T15:30:00"
9,"The mobile app keeps crashing when I try to checkout.","2025-03-30T16:15:00"
10,"Fast delivery and excellent product quality. Will buy again!","2025-03-30T17:00:00"
